ts_ns,ax,ay,az,gx,gy,gz,mx,my,mz
1774594646359,2.681506,-0.38307226,12.41633,0.35063666,-0.11484267,0.18692477,-27.06,-4.02,-23.34
1774594646370,2.681506,-0.38307226,12.41633,0.35063666,-0.11484267,0.18692477,-27.06,-4.02,-23.34
1774594646380,2.0159178,-0.10055647,11.621455,0.68294734,0.119729586,0.1282817,-25.68,-3.48,-22.5
1774594646391,1.5945383,0.062249243,10.189722,0.816116,0.31642818,0.19425514,-23.939999,-4.02,-20.76
1774594646401,1.388637,0.07182605,9.595961,0.784351,0.41783184,0.26389378,-24.0,-4.62,-20.76
1774594646411,1.2114661,-0.01436521,9.011775,0.6731735,0.46181414,0.30665436,-23.82,-4.8599997,-21.06
1774594646421,0.78050977,-0.45489833,8.374918,0.2846632,0.3652974,0.33964106,-23.88,-4.56,-22.02
1774594646432,0.61770403,-0.62728083,8.513782,0.04153884,0.19792034,0.3408628,-23.939999,-4.68,-22.619999
1774594646442,0.47405192,-0.7757214,9.121908,-0.11728613,-0.0061086523,0.3213151,-24.06,-4.98,-22.5
1774594646453,0.4309563,-0.92416185,9.749189,-0.15271631,-0.14660765,0.2968805,-23.939999,-4.8599997,-22.56
1774594646463,0.38307226,-1.091756,10.299856,-0.08674286,-0.2968805,0.25045475,-24.119999,-5.04,-22.8
1774594646473,0.39743748,-1.3694834,10.836157,0.17104226,-0.35430184,0.172264,-23.4,-3.72,-22.859999
1774594646485,0.48362875,-1.436521,10.658986,0.30298916,-0.2846632,0.1282817,-23.58,-3.84,-22.38
1774594646496,0.49799395,-1.4939818,10.007763,0.43249258,-0.105068825,0.052534413,-23.279999,-3.9599998,-21.84
1774594646507,0.40701428,-1.532289,9.662998,0.4373795,-0.040317107,0.035430185,-23.4,-3.84,-21.72
1774594646518,0.2777274,-1.5705963,9.3661175,0.41416663,0.030543262,0.02443461,-23.279999,-3.6599998,-21.779999
1774594646529,0.15801731,-1.5945383,8.896853,0.32986724,0.14538592,0.013439035,-24.0,-4.44,-22.32
1774594646541,0.1340753,-1.6041151,8.805874,0.26633725,0.21868975,0.008552114,-23.58,-4.14,-22.26
1774594646551,-0.11492168,-1.6136919,8.815451,0.16737708,0.33108896,0.014660766,-24.119999,-4.2599998,-22.859999
1774594646561,-0.22984336,-1.6328455,8.815451,0.15027285,0.34330627,0.030543262,-23.82,-4.14,-22.32
1774594646571,-0.30166942,-1.6232687,8.743625,0.13683382,0.33475417,0.061086524,-24.06,-4.3199997,-22.38
1774594646582,-0.34476504,-1.4939818,8.537724,0.10262536,0.25778514,0.09896017,-22.859999,-3.6,-21.539999
1774594646593,-0.4213795,-1.388637,8.51857,0.08307768,0.16371189,0.112399206,-22.5,-3.1799998,-22.199999
1774594646603,-0.40701428,-1.3311762,8.643068,0.058643065,0.07574729,0.13805555,-22.439999,-3.48,-22.32
1774594646613,-0.23463176,-1.2593501,8.66701,0.029321533,0.019547688,0.16371189,-22.619999,-3.72,-22.8
1774594646624,0.18674773,-1.1923125,8.643068,-0.081855945,-0.04886922,0.16737708,-23.88,-4.2599998,-22.859999
1774594646634,0.29209262,-1.1779473,8.748413,-0.17715092,-0.047647487,0.15882497,-24.06,-4.2,-22.98
1774594646644,0.34955344,-1.1444284,8.901642,-0.25289822,-0.029321533,0.14905111,-24.0,-4.02,-22.68
1774594646655,0.29209262,-1.0726024,9.351752,-0.3885103,0.028099801,0.13439035,-22.8,-2.9399998,-22.74
1774594646664,0.20111294,-1.0534488,9.639056,-0.3885103,0.028099801,0.13439035,-22.5,-2.8799999,-22.619999
1774594646676,0.1340753,-1.0582372,9.840169,-0.4129449,0.12461651,0.1563815,-22.92,-3.0,-22.74
1774594646686,-0.02873042,-1.1204864,10.065224,-0.30665436,0.15027285,0.19547687,-23.76,-3.48,-23.46
1774594646697,-0.15801731,-1.0965444,10.0029745,-0.22724187,0.13439035,0.21624629,-24.119999,-3.6,-23.58
1774594646707,-0.19153613,-1.0342951,9.849746,-0.17470746,0.1001819,0.23945917,-24.42,-4.08,-23.16
1774594646718,-0.11492168,-0.8523358,9.356541,-0.119729586,0.009773844,0.29077184,-24.0,-3.24,-23.16
1774594646728,0.009576807,-0.7422025,8.494628,-0.11484267,-0.08674286,0.30543262,-24.06,-3.0,-22.619999
1774594646741,0.2681506,-0.48362875,8.973468,-0.1685988,-0.11728613,0.30665436,-23.699999,-2.52,-22.859999
1774594646753,0.4357447,-0.4213795,9.121908,-0.3359759,0.05131268,0.25045475,-23.519999,-1.92,-22.439999
1774594646763,0.31603462,-0.50757074,9.232041,-0.36041048,0.09407325,0.2284636,-23.34,-2.04,-22.8
1774594646773,0.23942018,-0.59376204,9.303867,-0.36896262,0.14049901,0.21991149,-23.34,-1.74,-22.26
1774594646783,0.33518824,-0.7757214,9.385271,-0.37018433,0.16126843,0.20158553,-23.4,-1.26,-22.56
1774594646794,0.39743748,-0.8810662,9.528923,-0.37751472,0.15027285,0.19058995,-23.16,-0.17999999,-22.859999
1774594646805,0.4261679,-0.94810385,9.68694,-0.3848451,0.13927728,0.18325958,-22.68,0.29999998,-22.859999
1774594646815,0.62249243,-0.9576807,9.916783,-0.36774087,0.096516706,0.1600467,-23.1,-0.84,-23.22
